"","X","trial_ref","year","location","host_genotype","trial_design","plot_length.m.","plot_width.m.","plant_density","row_spacing","replicates","planting_date","emergence_date","flowering_date","pod_fill_date","mid_late_pod_fill","first_sign_disease","trade_name","fungicide_ai","dose_ai.ha","n_treatment","fungicide_application_1","fungicide_application_2","fungicide_application_3","fungicide_application_4","fungicide_application_5","fungicide_application_6","fungicide_application_7","total_fungicide","harvest_date","final_assessment","PM_final_severity","rating_scale","disease_error","D_error_type","grain_yield.t.ha.","raw_graded","Y_Msquare","yield_error","Y_error_type","yield_gain","prop_YG","raw_data_avail","comments","days_harvest.planting"
"1",1,"mung0001/01",2001,"Bongeen_1","Emerald","RB",NA,NA,"",1,5,"2001-02-11",NA,NA,NA,NA,"2001-03-16",NA,"control",NA,1,NA,NA,NA,NA,NA,NA,NA,0,"2001-05-09","2001-04-04",3.4,"""1-9""",0.54,"lsd (P=0.05)",0.506,"",NA,0.00125442347044544,"SamplingVariance",NA,NA,"No","",87
"2",2,"mung0001/01",2001,"Bongeen_1","Emerald","RB",NA,NA,"",1,5,"2001-02-11",NA,NA,NA,NA,"2001-03-16","Headland(SC)","sulphur","2400",2,"2001-03-16",NA,NA,NA,NA,NA,NA,1,"2001-05-09","2001-04-04",2.5,"""1-9""",0.54,"lsd (P=0.05)",0.594,"",NA,0.00125442347044544,"SamplingVariance",0.088,0.173913043478261,"No","",87
"3",3,"mung0001/01",2001,"Bongeen_1","Emerald","RB",NA,NA,"",1,5,"2001-02-11",NA,NA,NA,NA,"2001-03-16","Headland(SC)","sulphur","2400",3,"2001-03-16","2001-03-26",NA,NA,NA,NA,NA,2,"2001-05-09","2001-04-04",1.3,"""1-9""",0.54,"lsd (P=0.05)",0.637,"",NA,0.00125442347044544,"SamplingVariance",0.131,0.258893280632411,"No","",87
"4",4,"mung0001/01",2001,"Bongeen_1","Emerald","RB",NA,NA,"",1,5,"2001-02-11",NA,NA,NA,NA,"2001-03-16","Bion","Acibenzolar-S-methyl","2.5",4,"2001-03-16","2001-03-26",NA,NA,NA,NA,NA,2,"2001-05-09","2001-04-04",3.9,"""1-9""",0.54,"lsd (P=0.05)",0.498,"",NA,0.00125442347044544,"SamplingVariance",-0.00800000000000001,-0.0158102766798419,"No","",87
"5",5,"mung0001/01",2001,"Bongeen_1","Emerald","RB",NA,NA,"",1,5,"2001-02-11",NA,NA,NA,NA,"2001-03-16","Afugan","pyrazophos","500",5,"2001-03-16","2001-03-26",NA,NA,NA,NA,NA,2,"2001-05-09","2001-04-04",2.9,"""1-9""",0.54,"lsd (P=0.05)",0.531,"",NA,0.00125442347044544,"SamplingVariance",0.025,0.049407114624506,"No","",87
"6",6,"mung0001/01",2001,"Bongeen_1","Emerald","RB",NA,NA,"",1,5,"2001-02-11",NA,NA,NA,NA,"2001-03-16","Bavistin","carbendazim","250",6,"2001-03-16","2001-03-26",NA,NA,NA,NA,NA,2,"2001-05-09","2001-04-04",2.2,"""1-9""",0.54,"lsd (P=0.05)",0.588,"",NA,0.00125442347044544,"SamplingVariance",0.082,0.162055335968379,"No","",87
"7",7,"mung0001/01",2001,"Bongeen_1","Emerald","RB",NA,NA,"",1,5,"2001-02-11",NA,NA,NA,NA,"2001-03-16","Benlate","benomyl","250",7,"2001-03-16","2001-03-26",NA,NA,NA,NA,NA,2,"2001-05-09","2001-04-04",1.9,"""1-9""",0.54,"lsd (P=0.05)",0.7,"",NA,0.00125442347044544,"SamplingVariance",0.194,0.383399209486166,"No","",87
"8",8,"mung0102/01",2002,"Bongeen_2","Emerald","RB",NA,NA,"",1,3,NA,NA,NA,NA,NA,"2002-02-07","Headland(SC)","sulphur (SC)","2400",1,"2002-02-07","2002-02-19",NA,NA,NA,NA,NA,2,"2002-03-18","2002-04-17",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,"","First fungicide application had 22mm of rain 5 hours after",37294
"9",9,"mung0102/01",2002,"Bongeen_2","Emerald","RB",NA,NA,"",1,3,NA,NA,NA,NA,NA,"2002-02-07","Headland(SC) + Chemwet (adj)","sulphur (SC)","2400",2,"2002-02-07","2002-02-19",NA,NA,NA,NA,NA,2,"2002-03-18","2002-04-17",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,"","First fungicide application had 22mm of rain 5 hours after",37333
"10",10,"mung0102/01",2002,"Bongeen_2","Emerald","RB",NA,NA,"",1,3,NA,NA,NA,NA,NA,"2002-02-07","Headland(SC) + Guard (adj)","sulphur (SC)","2400",3,"2002-02-07","2002-02-19",NA,NA,NA,NA,NA,2,"2002-03-18","2002-04-17",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,"","First fungicide application had 22mm of rain 5 hours after",37333
"11",11,"mung0102/01",2002,"Bongeen_2","Emerald","RB",NA,NA,"",1,3,NA,NA,NA,NA,NA,"2002-02-07","Headland(SC) + Bond (adj)","sulphur (SC)","2400",4,"2002-02-07","2002-02-19",NA,NA,NA,NA,NA,2,"2002-03-18","2002-04-17",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,"","First fungicide application had 22mm of rain 5 hours after",37333
"12",12,"mung0102/01",2002,"Bongeen_2","Emerald","RB",NA,NA,"",1,3,NA,NA,NA,NA,NA,"2002-02-07","Headland(SC) + Freeway (adj)","sulphur (SC)","2400",5,"2002-02-07","2002-02-19",NA,NA,NA,NA,NA,2,"2002-03-18","2002-04-17",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,"","First fungicide application had 22mm of rain 5 hours after",37333
"13",13,"mung0102/01",2002,"Bongeen_2","Emerald","RB",NA,NA,"",1,3,NA,NA,NA,NA,NA,"2002-02-07","Headland(SC) + Bond (adj) + Freeway (adj)","sulphur (SC)","2400",6,"2002-02-07","2002-02-19",NA,NA,NA,NA,NA,2,"2002-03-18","2002-04-17",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,"","First fungicide application had 22mm of rain 5 hours after",37333
"14",14,"mung0102/01",2002,"Bongeen_2","Emerald","RB",NA,NA,"",1,3,NA,NA,NA,NA,NA,"2002-02-07","Barmac sulphur (WP)","sulphur (WP)","2400",7,"2002-02-07","2002-02-19",NA,NA,NA,NA,NA,2,"2002-03-18","2002-04-17",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,"","First fungicide application had 22mm of rain 5 hours after",37333
"15",15,"mung0102/01",2002,"Bongeen_2","Emerald","RB",NA,NA,"",1,3,NA,NA,NA,NA,NA,"2002-02-07","Barmac sulphur (WP) + Chemwet (adj)","sulphur (WP)","2400",8,"2002-02-07","2002-02-19",NA,NA,NA,NA,NA,2,"2002-03-18","2002-04-17",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,"","First fungicide application had 22mm of rain 5 hours after",37333
"16",16,"mung0102/01",2002,"Bongeen_2","Emerald","RB",NA,NA,"",1,3,NA,NA,NA,NA,NA,"2002-02-07","Barmac sulphur (WP) + Guard (adj)","sulphur (WP)","2400",9,"2002-02-07","2002-02-19",NA,NA,NA,NA,NA,2,"2002-03-18","2002-04-17",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,"","First fungicide application had 22mm of rain 5 hours after",37333
"17",17,"mung0102/01",2002,"Bongeen_2","Emerald","RB",NA,NA,"",1,3,NA,NA,NA,NA,NA,"2002-02-07","Barmac sulphur (WP) + Bond (adj)","sulphur (WP)","2400",10,"2002-02-07","2002-02-19",NA,NA,NA,NA,NA,2,"2002-03-18","2002-04-17",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,"","First fungicide application had 22mm of rain 5 hours after",37333
"18",18,"mung0102/01",2002,"Bongeen_2","Emerald","RB",NA,NA,"",1,3,NA,NA,NA,NA,NA,"2002-02-07","Barmac sulphur (WP) + Freeway (adj)","sulphur (WP)","2400",11,"2002-02-07","2002-02-19",NA,NA,NA,NA,NA,2,"2002-03-18","2002-04-17",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,"","First fungicide application had 22mm of rain 5 hours after",37333
"19",19,"mung0102/01",2002,"Bongeen_2","Emerald","RB",NA,NA,"",1,3,NA,NA,NA,NA,NA,"2002-02-07","Barmac sulphur (WP)  + Bond (adj) + Freeway (adj)","sulphur (WP)","2400",12,"2002-02-07","2002-02-19",NA,NA,NA,NA,NA,2,"2002-03-18","2002-04-17",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,"","First fungicide application had 22mm of rain 5 hours after",37333
"20",20,"mung0102/02",2002,"Hermitage","Emerald","RB",NA,NA,"",0.75,6,"2002-01-29",NA,NA,NA,NA,"2002-03-19",NA,"control",NA,1,NA,NA,NA,NA,NA,NA,NA,0,"2002-05-15","2002-04-17",3.5,"""1-9""",0.42,"lsd (P=0.05)",NA,"",NA,NA,"",NA,NA,"","disease rating scale was transformed from 1-5 to 1-9",-37285
"21",21,"mung0102/02",2002,"Hermitage","Emerald","RB",NA,NA,"",0.75,6,"2002-01-29",NA,NA,NA,NA,"2002-03-19","Headland(SC)","sulphur (SC)","2400",2,"2002-02-07","2002-02-19",NA,NA,NA,NA,NA,2,"2002-05-15","2002-04-17",2,"""1-9""",0.42,"lsd (P=0.05)",NA,"",NA,NA,"",NA,NA,"","disease rating scale was transformed from 1-5 to 1-9",9
"22",22,"mung0102/02",2002,"Hermitage","Emerald","RB",NA,NA,"",0.75,3,"2002-01-29",NA,NA,NA,NA,"2002-03-19","Headland(SC) + Chemwet (adj)","sulphur (SC)","2400",3,"2002-02-07","2002-02-19",NA,NA,NA,NA,NA,2,"2002-05-15","2002-04-17",2,"""1-9""",0.42,"lsd (P=0.05)",NA,"",NA,NA,"",NA,NA,"","disease rating scale was transformed from 1-5 to 1-9",106
"23",23,"mung0102/02",2002,"Hermitage","Emerald","RB",NA,NA,"",0.75,3,"2002-01-29",NA,NA,NA,NA,"2002-03-19","Headland(SC) + Guard (adj)","sulphur (SC)","2400",4,"2002-02-07","2002-02-19",NA,NA,NA,NA,NA,2,"2002-05-15","2002-04-17",1.67,"""1-9""",0.42,"lsd (P=0.05)",NA,"",NA,NA,"",NA,NA,"","disease rating scale was transformed from 1-5 to 1-9",106
"24",24,"mung0102/02",2002,"Hermitage","Emerald","RB",NA,NA,"",0.75,3,"2002-01-29",NA,NA,NA,NA,"2002-03-19","Headland(SC) + Bond (adj)","sulphur (SC)","2400",5,"2002-02-07","2002-02-19",NA,NA,NA,NA,NA,2,"2002-05-15","2002-04-17",2,"""1-9""",0.42,"lsd (P=0.05)",NA,"",NA,NA,"",NA,NA,"","disease rating scale was transformed from 1-5 to 1-9",106
"25",25,"mung0102/02",2002,"Hermitage","Emerald","RB",NA,NA,"",0.75,3,"2002-01-29",NA,NA,NA,NA,"2002-03-19","Headland(SC) + Freeway (adj)","sulphur (SC)","2400",6,"2002-02-07","2002-02-19",NA,NA,NA,NA,NA,2,"2002-05-15","2002-04-17",2,"""1-9""",0.42,"lsd (P=0.05)",NA,"",NA,NA,"",NA,NA,"","disease rating scale was transformed from 1-5 to 1-9",106
